Frequency_Hz,SPL_dB
20.18253000559753,0.010981453853268477
20.552602800707195,0.03294372799771365
20.92946135922919,0.054895685548315185
21.313230106913522,0.07682558464679749
21.704035751017287,0.09872124970725372
22.102007322139013,0.12057006709552288
22.50727621682019,0.14235898152015045
22.919976240927877,0.1640744932140091
23.34024365383274,0.18570265599162517
23.768217213397318,0.20722907627360418
24.20403822178903,0.22863891317629023
24.647850572133343,0.2499168797720198
25.099800796022265,0.2710472456329811
25.560038111894134,0.29201384077987597
26.028714474300386,0.31280006116524967
26.50598462407567,0.333388875830626
26.992006139428053,0.3537628358864294
27.486939487965866,0.37390408547413284
27.99094807967864,0.39379437488122987
28.50419832088939,0.4134150759914683
29.026859669196373,0.43274720026538704
29.559104689422092,0.4517714194595838
30.101109110588318,0.47046808930739
30.653051883935706,0.4888172763987471
31.21511524200744,0.5067987885131795
31.79243139538015,0.5245411375431651
32.38546378153827,0.5420128572131637
32.98955815306828,0.5590397436109434
33.604920852023696,0.5755998596914115
34.23176206940935,0.5916712225696596
34.870295916976886,0.6072318663425823
35.52074050035939,0.6222599113302301
36.183317993570306,0.6367336402167504
36.85825471489207,0.6506315816025338
37.5457812041801,0.6639326015129339
38.246132301608945,0.6766160034447964
38.95954722788721,0.6886616375700971
39.68626966596885,0.7000500197564354
40.42654784428849,0.7107624611070671
41.18063462154948,0.7207812087687526
41.94878757309354,0.7300895988040976
42.731269078881326,0.738672221976439
43.528346413114285,0.7465151033498741
44.34029183552815,0.7536058966649011
45.16738268438949,0.7599340945115759
46.00990147122669,0.765491255387256
46.86813597732825,0.770271248795188
47.7423793520409,0.7742705196135414
48.63293021290149,0.7774883730423727
49.540092747636386,0.7799272815185458
50.23164667114319,0.7812488801139802
50.69816459632551,0.781890315412783
51.169015227858104,0.7823415168449617
51.64423880501861,0.7826042392252102
52.12387594080016,0.7826805213699595
52.607967625382216,0.782572699410825
53.09655522963352,0.7822834205906614
53.58968050864787,0.7818156575578901
54.08738560531236,0.7811727231752599
54.58971305390907,0.780358285859685
55.09670578375003,0.7793763854703175
55.60840712284593,0.7782314497625409
56.12486080160911,0.7769283114261059
56.6461109565907,0.7754722257261851
57.172202134252565,0.7738688887667046
57.70317929477435,0.7721244563958878
58.23908781589569,0.7702455637745687
58.77997349679436,0.768239345628439
59.32588256200026,0.7661134572060561
59.876861665345764,0.7638760959650881
60.432957893952874,0.7615360240099577
60.994218772257184,0.7591025913047543
61.560692266069545,0.7565857596859967
62.13242678667512,0.7539961277005838
62.709471194970696,0.7513449562950298
63.584862790760305,0.7472780346402411
64.77092756307654,0.7417018498527579
65.97911630613656,0.7359457573939597
67.2098417040474,0.7300054628513305
68.46352413881871,0.7238766657800246
69.74059183395379,0.7175550686171469
71.04148100071878,0.7110363864578199
72.36663598714061,0.7043163577555792
73.71650942978415,0.6973907560137013
75.09156240836022,0.6902554025384001
76.4922646032179,0.6829061803294126
77.91909445577443,0.6753390491883666
79.37253933193772,0.6675500621304931
80.853095688577,0.6595353831907385
82.36126924309897,0.6512913067211478
83.8975751461871,0.642814278282573
85.46253815776267,0.6341009172403205
87.05669282622858,0.6251480411802999
88.68058367105631,0.6159526922696206
90.33476536877899,0.6065121656934069
92.0198029424534,0.5968240403079128
93.73627195465652,0.5868862116588046
95.48475870408181,0.5766969275228399
97.265860425803,0.5662548261410583
99.08018549527279,0.5555589773221075
100.44728444663893,0.5474641162191541
101.34786418972652,0.542116403773453
102.25651825635732,0.5367094280772553
103.17331903845574,0.5312432586450107
104.09833957699013,0.52571799827539
105.03165356779186,0.5201337845306592
105.97333536742674,0.5144907912666736
106.9234599991188,0.5087892302150552
107.88210315872753,0.5030293526191608
108.84934122077836,0.49721145092549907
109.82525124454746,0.4913358605322979
110.80991098020101,0.48540296159698154
111.80339887498945,0.47941318090435947
112.8057940794974,0.47336699379738634
113.81717645394949,0.4672649261724069
114.83762657457275,0.4611075565408544
115.86722574001617,0.45489551815942647
116.9060559778276,0.4486295012308272
117.95420005098893,0.44231025517721606
119.01174146450971,0.43593859098857796
120.07876447207992,0.42951538364828107
121.15535408278252,0.4230415746381621
122.24159606786597,0.41651817452554923
123.33757696757759,0.409946265634692
124.44338409805819,0.4033270048051496
126.18054900337793,0.3929551106755363
128.5752010138062,0.3787134823162168
131.0152986836197,0.3642685660610179
133.50170447966036,0.3496194746800922
136.03529723664911,0.33476544137380293
138.61697246781512,0.31970582867783714
141.2476426814202,0.30444013786986596
143.9282377032905,0.2889680189045912
146.6597050054684,0.27328928090545934
149.44301004110238,0.25740390324282825
152.27913658569207,0.24131204722998909
155.1690870848094,0.2250140684701207
158.11388300841895,0.20851052988903565
161.1145652119224,0.19180221549045498
164.17219430405513,0.1748901448725258
167.28785102176448,0.157775588546383
170.4626366122026,0.14046008409975838
173.69767322196873,0.12294545325096043
176.9941042937385,0.10523381984100072
180.35309497042044,0.0873276288142225
183.7758325069824,0.06922966624051753
187.26352669009455,0.050943080435082326
190.8174102657344,0.0324714042347239
194.43873937490895,0.013818578492885127
198.12879399764483,-0.005011023141020518
200.8945688932779,-0.019006117011122488
202.69572837945307,-0.028065450460848455
204.51303651271468,-0.03716208059679702
206.34663807691152,-0.04629538619841572
208.19667915398028,-0.05546471880113395
210.06330713558376,-0.06466940194061023
211.9466707348535,-0.07390873037770729
213.84691999823764,-0.08318196930370128
215.7642063174551,-0.09248835352523307
217.69868244155674,-0.10182708662848217
219.65050248909495,-0.1111973401220425
221.61982196040205,-0.12059825255795983
223.60679774997894,-0.13002892863037646
